0000000049##34299##Grupa 2#Kxfoc, Wuplhy#Elektronika 2#2
0000000049##37835##Grupa 1#Kxfoc, Wuplhy#Projekt#2
0000000050##19671##Grupa 1#Fdajhdvhw, Ikiyrbcr#Laboratorij i vještine - Mathematica#3
0000000050##19674##Grupa 6#Fdajhdvhw, Ikiyrbcr#Digitalna logika#3
0000000050##19678##Grupa 4#Fdajhdvhw, Ikiyrbcr#Vještine komuniciranja#3
0000000050##21013##Grupa 1#Fdajhdvhw, Ikiyrbcr#Tjelesna i zdravstvena kultura 1#3
0000000050##31490##Grupa 1#Fdajhdvhw, Ikiyrbcr#Upravljanje kakvoćom#3
0000000050##31491##Grupa 1#Fdajhdvhw, Ikiyrbcr#Laboratorij i vještine - Matlab#3
0000000050##34275##Grupa 7#Fdajhdvhw, Ikiyrbcr#Okoliš i održivi razvoj#3
0000000050##34277##Grupa 2#Fdajhdvhw, Ikiyrbcr#Arhitektura računala 2#3
0000000050##34300##Grupa 2#Fdajhdvhw, Ikiyrbcr#Električna postrojenja#3
0000000050##34318##Grupa 2#Fdajhdvhw, Ikiyrbcr#Elektromehaničke i električne pretvorbe#3
0000000051##34313##Grupa 4#Zgcsze, Xbshgfea#Automatsko upravljanje#3
0000000051##34339##Grupa 1#Zgcsze, Xbshgfea#Održavanje elektroenergetskog sustava#2
0000000051##34387##Grupa 1#Zgcsze, Xbshgfea#Upravljanje rizikom#2
0000000051##34443##Grupa 2#Zgcsze, Xbshgfea#Elektroenergetske mreže#2
0000000051##34511##Grupa 1#Zgcsze, Xbshgfea#Kvaliteta opskrbe električnom energijom#2
0000000051##35209##Grupa 1#Zgcsze, Xbshgfea#Automatizacija električnih postrojenja#2
0000000051##46404##Grupa 2#Zgcsze, Xbshgfea#Diplomski projekt#2
0000000051##57260##Grupa 1#Zgcsze, Xbshgfea#Pravo društava kapitala Europske unije#2
0000000052##31486##Grupa 4#Owmvastu, Tmssg#Matematika 3E#3
0000000052##31489##Grupa 1#Owmvastu, Tmssg#Električni krugovi#3
0000000053##31488##Grupa 6#Zmynq, Ivxujaxgf#Elektronika 1#3
0000000053##31489##Grupa 4#Zmynq, Ivxujaxgf#Električni krugovi#3
0000000053##34315##Grupa 1#Zmynq, Ivxujaxgf#Teorija informacije#3
0000000054##34396##Grupa 2#Xfblkl, Avgrng#Komunikacijski protokoli#1
0000000054##34456##Grupa 3#Xfblkl, Avgrng#Raspodijeljeni sustavi#1
0000000054##34457##Grupa 1#Xfblkl, Avgrng#Informacijske mreže#1
0000000054##34468##Grupa 3#Xfblkl, Avgrng#Planiranje mobilnih sustava#1
0000000054##34556##Grupa 4#Xfblkl, Avgrng#Diskretna matematika#1
0000000054##35240##Grupa 1#Xfblkl, Avgrng#Laboratorij telekomunikacija i informatike 1#1
0000000054##46419##Grupa 6#Xfblkl, Avgrng#Organizacijska psihologija#1
0000000055##31488##Grupa 1#Irczqzp, Gkuwphh#Elektronika 1#3
0000000055##31500##Grupa 1#Irczqzp, Gkuwphh#Matematika 3R#3
0000000055##34269##Grupa 2#Irczqzp, Gkuwphh#Oblikovanje programske potpore#3
0000000055##34280##Grupa 1#Irczqzp, Gkuwphh#Prevođenje programskih jezika#3
0000000055##34315##Grupa 7#Irczqzp, Gkuwphh#Teorija informacije#3
0000000056##31486##Grupa 3#Zioxjisq, Tgjpeqwo#Matematika 3E#3
0000000056##31489##Grupa 4#Zioxjisq, Tgjpeqwo#Električni krugovi#3
0000000056##34316##Grupa 1#Zioxjisq, Tgjpeqwo#Elektromehanički sustavi#3
0000000057##31500##Grupa 1#Weaxnyqs, Btiqrhz#Matematika 3R#3
0000000057##34269##Grupa 3#Weaxnyqs, Btiqrhz#Oblikovanje programske potpore#3
0000000057##34272##Grupa 3#Weaxnyqs, Btiqrhz#Komunikacijske mreže#3
0000000058##34272##Grupa 4#Xzgnkq, Cmjriquri#Komunikacijske mreže#3
0000000058##34277##Grupa 1#Xzgnkq, Cmjriquri#Arhitektura računala 2#3
0000000059##34315##Grupa 5#Afvlyx, Wcnsgdt#Teorija informacije#3
0000000060##31486##Grupa 1#Urgaxjo, Kkonn#Matematika 3E#3
0000000060##34313##Grupa 5#Urgaxjo, Kkonn#Automatsko upravljanje#3
0000000060##34314##Grupa 5#Urgaxjo, Kkonn#Komunikacijski sustavi#3
0000000061##34272##Grupa 1#Pcqaaaur, Gwemte#Komunikacijske mreže#2
0000000062##34315##Grupa 5#Kleyehr, Tgejpgva#Teorija informacije#3
0000000062##34395##Grupa 4#Kleyehr, Tgejpgva#Napredni algoritmi i strukture podataka#1
0000000062##34456##Grupa 3#Kleyehr, Tgejpgva#Raspodijeljeni sustavi#1
0000000062##34457##Grupa 1#Kleyehr, Tgejpgva#Informacijske mreže#1
0000000062##34458##Grupa 1#Kleyehr, Tgejpgva#Fotoničke telekomunikacijske mreže#1
0000000062##34509##Grupa 2#Kleyehr, Tgejpgva#Osnove nuklearne fizike#1
0000000062##35240##Grupa 1#Kleyehr, Tgejpgva#Laboratorij telekomunikacija i informatike 1#1
0000000062##46419##Grupa 6#Kleyehr, Tgejpgva#Organizacijska psihologija#1
0000000063##31488##Grupa 2#Mgmhjrmej, Jrjoqvt#Elektronika 1#3
0000000063##34269##Grupa 4#Mgmhjrmej, Jrjoqvt#Oblikovanje programske potpore#3
0000000063##34272##Grupa 3#Mgmhjrmej, Jrjoqvt#Komunikacijske mreže#3
0000000064##34396##Grupa 2#Isavxcfu, Xtznb#Komunikacijski protokoli#1
0000000064##34456##Grupa 3#Isavxcfu, Xtznb#Raspodijeljeni sustavi#1
0000000064##34457##Grupa 1#Isavxcfu, Xtznb#Informacijske mreže#1
0000000064##34468##Grupa 3#Isavxcfu, Xtznb#Planiranje mobilnih sustava#1
0000000064##34556##Grupa 4#Isavxcfu, Xtznb#Diskretna matematika#1
0000000064##35240##Grupa 1#Isavxcfu, Xtznb#Laboratorij telekomunikacija i informatike 1#1
