0479818155##31503##2.R2#Vlceqg, Mitvmowhrbn#Baze podataka#2
0479818155##34294##3.OiMT1#Vlceqg, Mitvmowhrbn#Trgovačko pravo#2
8160977150##21012##1.08#Uiiljid, Rgmnveuwr#Menadžment u inženjerstvu#2
8160977150##31493##2.E3#Uiiljid, Rgmnveuwr#Vjerojatnost i statistika#2
8160977150##41251##2.E3#Uiiljid, Rgmnveuwr#Inženjerska ekonomika#2
5228046696##31503##2.R2#Styv, Nrwkgov#Baze podataka#2
5228046696##34282##3.PI1#Styv, Nrwkgov#Programske paradigme i jezici#2
7108486026##21008##1.08#Nppf, Ibkrne#Algoritmi i strukture podataka#2
7108486026##21010###Nppf, Ibkrne#Arhitektura računala 1#2
7108486026##34294###Nppf, Ibkrne#Trgovačko pravo#2
7108486026##41251###Nppf, Ibkrne#Inženjerska ekonomika#2
6837162816##31493##2.R1#Ptbxi, Fsrdkpputx#Vjerojatnost i statistika#3
6837162816##31494##2.R1#Ptbxi, Fsrdkpputx#Signali i sustavi#3
2435153399##31496##2.E3#Qjxx, Ivmqhmyjjl#Elektromagnetska polja#2
4960713508##21004##1.01#Uemiiv, Racopy#Matematika 2#2
4960713508##21008##1.01#Uemiiv, Racopy#Algoritmi i strukture podataka#2
4960713508##34319##3.RZ1#Uemiiv, Racopy#Ugradbeni računalni sustavi#2
5380039675##34294##3.ERI2#Stcou, Uahaxlvo#Trgovačko pravo#2
6222421356##31494##2.R1#Ewrr, Glpdf#Signali i sustavi#3
6222421356##31503##2.R1#Ewrr, Glpdf#Baze podataka#3
6222421356##34282##3.RZ1#Ewrr, Glpdf#Programske paradigme i jezici#3
6836658909##21012###Gyda, Ladtsqhtbd#Menadžment u inženjerstvu#2
6836658909##31493###Gyda, Ladtsqhtbd#Vjerojatnost i statistika#2
6836658909##31495###Gyda, Ladtsqhtbd#Energijske tehnologije#2
6836658909##41251###Gyda, Ladtsqhtbd#Inženjerska ekonomika#2
5955657835##21010##1.02#Qfapim, Bwpct#Arhitektura računala 1#2
5955657835##31495##2.E2#Qfapim, Bwpct#Energijske tehnologije#2
5955657835##34341##3.AUT2#Qfapim, Bwpct#Osnove inteligentnog upravljanja#2
5955657835##34346##3.AUT2#Qfapim, Bwpct#Praktikum robotike#2
4754469323##31494##2.E1#Fdctfk, Bflmjk#Signali i sustavi#3
4754469323##34309##3.ELE2#Fdctfk, Bflmjk#Audiotehnika#3
1017605247##31493##2.VIS1#Lxpgqxw, Trfefeupsl#Vjerojatnost i statistika#2
1017605247##31494##2.R2#Lxpgqxw, Trfefeupsl#Signali i sustavi#2
1017605247##31502##2.R2#Lxpgqxw, Trfefeupsl#Uvod u teoriju računarstva#2
7794390323##31493##2.VIS1#Haruf, Qwnhgxpaylx#Vjerojatnost i statistika#2
7794390323##31502##2.R2#Haruf, Qwnhgxpaylx#Uvod u teoriju računarstva#2
7794390323##34294##3.OiMT1#Haruf, Qwnhgxpaylx#Trgovačko pravo#2
4437380850##31494##2.R2#Kpdlaat, Oifbq#Signali i sustavi#2
4437380850##31502##2.R2#Kpdlaat, Oifbq#Uvod u teoriju računarstva#2
4437380850##34294##3.ERI2#Kpdlaat, Oifbq#Trgovačko pravo#2
9487051682##21008##1.02#Nxue, Tptshelcuaf#Algoritmi i strukture podataka#2
9487051682##31493##2.VIS1#Nxue, Tptshelcuaf#Vjerojatnost i statistika#2
9487051682##34294##3.OiMT1#Nxue, Tptshelcuaf#Trgovačko pravo#2
9487051682##34358##3.RZ1#Nxue, Tptshelcuaf#Uvod u raspoznavanje uzoraka#2
0120487266##31494##2.R1#Sqrulf, Xvocvh#Signali i sustavi#3
0120487266##34309##3.ELE2#Sqrulf, Xvocvh#Audiotehnika#3
0120487266##34349##3.ELE2#Sqrulf, Xvocvh#Prijenos zvuka#3
1052901763##21010##1.01#Stlhxn, Xyycrpt#Arhitektura računala 1#2
1052901763##31502##2.R2#Stlhxn, Xyycrpt#Uvod u teoriju računarstva#2
1052901763##34282##3.PI1#Stlhxn, Xyycrpt#Programske paradigme i jezici#2
1052901763##34294##3.OiMT1#Stlhxn, Xyycrpt#Trgovačko pravo#2
3878147385##31493##2.E1#Sqqrkakx, Xytsv#Vjerojatnost i statistika#3
3878147385##31494##2.E1#Sqqrkakx, Xytsv#Signali i sustavi#3
3878147385##34294##3.RK2#Sqqrkakx, Xytsv#Trgovačko pravo#3
3878147385##34302##3.EE2#Sqqrkakx, Xytsv#Prijenos i razdjela električne energije#3
2038291494##31493##2.R2#Xpyktpt, Tkdwueat#Vjerojatnost i statistika#3
2038291494##41251##2.R1#Xpyktpt, Tkdwueat#Inženjerska ekonomika#3
7767556624##31494##2.E3#Rjmuu, Tppmlfg#Signali i sustavi#2
7767556624##31496##2.E3#Rjmuu, Tppmlfg#Elektromagnetska polja#2
0031386393##34294##3.RK2#Erkwiw, Xtocqy#Trgovačko pravo#3
0031386393##34302##3.EE2#Erkwiw, Xtocqy#Prijenos i razdjela električne energije#3
1447154881##21010##1.01#Bcpy, Chnjnpv#Arhitektura računala 1#2
1447154881##21012##1.03#Bcpy, Chnjnpv#Menadžment u inženjerstvu#2
6306420425##34302##3.EE1#Devggr, Jfxqhmdrgr#Prijenos i razdjela električne energije#2
1947586417##31494##2.E3#Dwfcmfa, Veomgrmsfj#Signali i sustavi#2
1947586417##34294##3.ELE2#Dwfcmfa, Veomgrmsfj#Trgovačko pravo#2
1947586417##34361##3.ELE2#Dwfcmfa, Veomgrmsfj#Zvuk i računala#2
6846533865##21008##1.02#Bcha, Xxqavldbk#Algoritmi i strukture podataka#2
6846533865##34294##3.ELE2#Bcha, Xxqavldbk#Trgovačko pravo#2
0321770932##31493##2.E1#Pqvx, Mgvterh#Vjerojatnost i statistika#3
0321770932##34294##3.RK2#Pqvx, Mgvterh#Trgovačko pravo#3
3822387321##34294##3.ELE2#Tylbvi, Vvtts#Trgovačko pravo#3
3822387321##34360##3.ELE2#Tylbvi, Vvtts#Zvuk i okoliš#3
3822387321##34361##3.ELE2#Tylbvi, Vvtts#Zvuk i računala#3
4803449964##21004##1.01#Myhpedl, Byerkwmqhh#Matematika 2#2
4803449964##41251##2.E2#Myhpedl, Byerkwmqhh#Inženjerska ekonomika#2
6083939254##21010##1.02#Hsiwscs, Qhflm#Arhitektura računala 1#2
6083939254##31493##2.E2#Hsiwscs, Qhflm#Vjerojatnost i statistika#2
6083939254##41251##2.E2#Hsiwscs, Qhflm#Inženjerska ekonomika#2
9787012674##31493##2.R3#Odobiui, Wqnvme#Vjerojatnost i statistika#2
9787012674##34294##3.OiMT1#Odobiui, Wqnvme#Trgovačko pravo#2
1402251337##34302##3.EE1#Ukabgs, Pbccton#Prijenos i razdjela električne energije#2
7018776408##31494##2.E3#Kqixta, Ffqawt#Signali i sustavi#2
7018776408##34294##3.ELE2#Kqixta, Ffqawt#Trgovačko pravo#2
7018776408##35245##3.EE2#Kqixta, Ffqawt#Niskonaponske mreže i instalacije#2
7018776408##36676##3.EE2#Kqixta, Ffqawt#Elektromotorni pogoni#2
7018776408##41251##2.E3#Kqixta, Ffqawt#Inženjerska ekonomika#2
8029304762##21004###Pibsar, Ievppgs#Matematika 2#2
8029304762##21008###Pibsar, Ievppgs#Algoritmi i strukture podataka#2
8029304762##34302###Pibsar, Ievppgs#Prijenos i razdjela električne energije#2
0747517124##21008##1.02#Nouumiej, Cjdrkdvrpwe#Algoritmi i strukture podataka#2
0747517124##31493##2.R3#Nouumiej, Cjdrkdvrpwe#Vjerojatnost i statistika#2
0747517124##34349##3.OiMT1#Nouumiej, Cjdrkdvrpwe#Prijenos zvuka#2
1125736262##21008##1.02#Usuw, Oyynixkju#Algoritmi i strukture podataka#2
1125736262##34294##3.ELE2#Usuw, Oyynixkju#Trgovačko pravo#2
1125736262##34309##3.AUT2#Usuw, Oyynixkju#Audiotehnika#2
4174093676##21004##1.06#Rdknjcs, Dqntmuxjfk#Matematika 2#2
4174093676##21010##1.06#Rdknjcs, Dqntmuxjfk#Arhitektura računala 1#2
4174093676##34294##3.RI1#Rdknjcs, Dqntmuxjfk#Trgovačko pravo#2
4718592989##31494##2.E2#Gxehh, Uffsm#Signali i sustavi#2
